"cardId","cardName","colorCosts","colorCostsColor","colorCostsCount","colors","counterLevel","damage","description","effectList","imageName","isPersistentSpell","isTO","level","power","rarity","reviveLevel","traits","types"
"test_88","死霊少女ジャンシー","[{""S"":""black""},{""S"":""black""}]","","","[{""S"":""black""}]","0","1","リバイブ5\n召喚時:自分の墓地のレベル3以下のユニットを1体手札に加える。\n破壊時:自分のデッキの上から3枚を墓地へ送る。\n破壊時:還元は発生しない。","","black_champion","","false","4","4000","SR","5","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_57","リソリーフ・リピート","[{""S"":""green""}]","green","1","[{""S"":""green""}]","2","0","ターン終了時まで自分のユニット全ては『還元+1』を得る。\nカウンター[2]","[{""M"":{""activationType"":{""S"":""Arts""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""1""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""BattleBuff""},""keyword"":{""S"":""ReductionBoost""},""value"":{""S"":""1""},""target"":{""S"":""PlayerField""}}}]}}},{""M"":{""activationType"":{""S"":""Counter""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""BattleBuff""},""keyword"":{""S"":""ReductionBoost""},""value"":{""S"":""1""},""target"":{""S"":""PlayerField""}}}]}}}]","green_magic_5","","false","4","0","R","0","[{""S"":""spell""}]","[{""S"":""spell""}]"
"test_09","ドーピング侍","[{""S"":""red""},{""S"":""red""}]","red","2","[{""S"":""red""}]","0","2","攻撃後:このユニットを破壊する。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""攻撃後このカードを破壊。""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnAttackEnd""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""Destroy""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""Self""}}}]}}}]","red_monster_9","","false","4","6000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_94","終末時計","[{""S"":""black""}]","black","1","[{""S"":""black""}]","0","0","このカードは発動後ユニットゾーンに留まる。\n終末カウント7\nお互いのプレイヤーが手札からカードをプレイする度に終末カウントを−1する。\n終末カウントが0になった時にユニットゾーンのカードを全て破壊する。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnPlay""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""set""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""CounterChange""},""keyword"":{""S"":""EndTime""},""value"":{""S"":""7""},""target"":{""S"":""Self""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""IfHasCounter:Seal""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnCardPlayedFromHand""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""CounterChange""},""keyword"":{""S"":""EndTime""},""value"":{""S"":""-1""},""target"":{""S"":""Self""}}}]}}}]","black_magic","true","false","2","0","R","0","[{""S"":""spell""}]","[{""S"":""spell""}]"
"test_42","繁栄指揮官ペリティ","[{""S"":""green""}]","green","1","[{""S"":""green""}]","0","1","元々効果を持たないユニットが召喚された時に発動する。ストーン(パッシブ)を1つ獲得する。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnCardEntersField""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""isVanillaPlayerField""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""GainLevel""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""""}}}]}}}]","green_monster_2","","false","2","1000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_83","生命の冒涜者","[{""S"":""black""},{""S"":""black""}]","black","2","[{""S"":""black""}]","0","1","常時(ターン1):相手の墓地のユニットを自分の場に召喚できる。その際に使用するカラーは何色でもよい。\n場を離れた時:この効果で召喚したユニットは全て破壊される。","[{""M"":{""activationType"":{""S"":""activate""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""popup""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""type=Monster""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""SelectKey""},""type"":{""S"":""Select""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""EnemyHand""}}},{""M"":{""mode"":{""S"":""steal""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""SelectKey""},""type"":{""S"":""Summon""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnLeaveField""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""RevivedByStealEffect""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""Destroy""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""AllMonsters""}}}]}}}]","dark_knight","","false","5","1000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_52","背森のエルフ","[{""S"":""green""},{""S"":""green""}]","green","2","[{""S"":""green""}]","0","1","召喚時:カラー1を消費することで2枚ドロー出来る。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnPlay""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""colorless""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""AssignColor""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""Draw""},""keyword"":{""S"":""""},""value"":{""S"":""2""},""target"":{""S"":""PlayerLeader""}}}]}}}]","green_monster_12","","false","4","4000","R","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_85","天より堕ちた翼","[{""S"":""black""},{""S"":""black""},{""S"":""black""}]","black","2","[{""S"":""black""}]","0","1","常時:黒を含まないユニットのレベルは+1される。(上限は10レベル)\n常時:このユニット以外の黒を含むユニットは『パワー−2000』を得る。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""Passive""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""notColor=black""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""CostModifier""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""AllMonstersInFieldHandGrave""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""color=black""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""PowerAura""},""keyword"":{""S"":""""},""value"":{""S"":""-2000""},""target"":{""S"":""AllMonsters""}}}]}}}]","black_monster","","false","6","6000","R","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_56","照葉の選別式","[{""S"":""green""}]","green","1","[{""S"":""green""}]","0","0","ターン終了時まで自分のユニット全ては『パワー+2000』を得る。\nお互いにデッキの上から1枚を公開し、そのレベルによって以下の効果を適用する。『レベルが低いプレイヤーは、そのカードと同色のカラーを得る。』『レベルが高いプレイヤーは、そのカードを手札に加える。』『レベルが同数のプレイヤーは、そのカードをデッキの下に戻す。』","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""ターン中+2000。""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""UntilEndTurn""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""BattleBuff""},""keyword"":{""S"":""Power""},""value"":{""S"":""2000""},""target"":{""S"":""PlayerField""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""お互いのデッキの上を1枚ずつ公開し、コストが低い方の色得る、高い方手札、同数そのまま。""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""cardView""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""SelectOption""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""EnemyDeckTop""}}}]}}}]","green_magic_4","","false","2","0","C","0","[{""S"":""spell""}]","[{""S"":""spell""}]"
"test_80","絶対不可侵領域","[{""S"":""yellow""},{""S"":""yellow""}]","yellow","2","[{""S"":""yellow""}]","0","0","発動時:相手のユニット１体をパッシブにする。\nお互いのリーダーが受ける2以上のダメージは1になる。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""Passive""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""PlayerStatus""},""keyword"":{""S"":""CapLeaderDamageTo1""},""value"":{""N"":""0""},""target"":{""S"":""BothLeaders""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnPlay""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""PassiveKey""},""type"":{""S"":""Select""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""EnemyField""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""PassiveKey""},""type"":{""S"":""CallMethod""},""keyword"":{""S"":""Deactivate""},""value"":{""N"":""0""},""target"":{""S"":""""}}}]}}}]","yellow_field","","false","6","0","R","0","[{""S"":""field""}]","[{""S"":""field""}]"
"token_005","特異点の存在","[{""S"":""yellow""},{""S"":""yellow""},{""S"":""yellow""}]","yellow","3","[{""S"":""yellow""}]","","2","ゲイル\nプレイ時:相手のユニット全てを破壊する。\n場を離れた時:相手リーダーに1ダメージ。自分リーダーに1ダメージ。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""Passive""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""KeywordAura""},""keyword"":{""S"":""SpeedAttacker""},""value"":{""N"":""0""},""target"":{""S"":""""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnPlay""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""Destroy""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""EnemyField""}}}]}}},{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnLeaveField""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""ApplyDamage""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""EnemyLeader""}}},{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""ApplyDamage""},""keyword"":{""S"":""""},""value"":{""N"":""0""},""target"":{""S"":""PlayerLeader""}}}]}}}]","","","","10","12000","C","","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_74","奇跡の策略","[{""S"":""yellow""}]","yellow","1","[{""S"":""yellow""}]","1","0","このカードはカウンタータイミング1にしか発動できない。\n自分のストーンを3つアクティブにする。手札からカードを1枚、カウンターエリアにセットしてもよい。\nカウンター[1]","[{""M"":{""activationType"":{""S"":""Counter1""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""ActivateCost""},""keyword"":{""S"":""""},""value"":{""S"":""3""},""target"":{""S"":""""}}}]}}}]","yellow_magic","","false","1","0","C","0","[{""S"":""spell""}]","[{""S"":""spell""}]"
"test_65","ジェットペガサス","[{""S"":""yellow""},{""S"":""yellow""}]","yellow","1","[{""S"":""yellow""}]","0","0","プロテクト","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""Passive""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""KeywordAura""},""keyword"":{""S"":""Blocker""},""value"":{""N"":""0""},""target"":{""S"":""Self""}}}]}}}]","thunder_guardian","","false","3","3000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
"test_22","海流指揮官ティア","[{""S"":""blue""},{""S"":""blue""}]","blue","2","[{""S"":""blue""}]","0","1","元々効果を持たないユニットが召喚された時に発動する。1枚ドローする。","[{""M"":{""activationType"":{""S"":""""},""condition"":{""S"":""""},""oncePerTurn"":{""BOOL"":false},""description"":{""S"":""""},""optional"":{""BOOL"":false},""trigger"":{""S"":""OnCardEntersField""},""actions"":{""L"":[{""M"":{""mode"":{""S"":""""},""duration"":{""S"":""""},""sourceKey"":{""S"":""""},""targetFilter"":{""S"":""isVanillaPlayerField""},""subValue"":{""N"":""0""},""selectionKey"":{""S"":""""},""type"":{""S"":""Draw""},""keyword"":{""S"":""""},""value"":{""S"":""1""},""target"":{""S"":""""}}}]}}}]","blue_monster_2","","false","4","1000","C","0","[{""S"":""monster""}]","[{""S"":""monster""}]"
